finding_id,track,source_record_id,source_file,journal_volume_issue_year,article_title,author,community_group,page_locator,printed_page_number,supporting_excerpt,source_access,evidence_type,exact_factual_observation,what_source_establishes,what_source_does_not_establish,author_interpretation,alternative_interpretation,response_process,outcome,transferability,article_gap_status,likely_article_destination,confidence,external_verification_needed,notes
F-074,Track A source-method warning,M-0579,006-basic-sense-the-more-philosophy-of-victor-baranco-and-the-institute-of-human-abilities.pdf,"Vol. 25, no. 1 (2005)",Basic Sense: The More Philosophy of Victor Baranco and the Institute of Human Abilities,Laurie Rivlin Heller,Morehouse / Institute of Human Abilities,PDF pp. 9 and 12; printed pp. 36 and 39,"36, 39",,full text,"historical and interpretive synthesis using movement publications, courses, journalism, and secondary sources","Morehouse trained non-therapists to lead intense encounter exercises and framed participants as able to lie, answer, or refuse while the leader manipulated emotional highs and lows. Its philosophy also taught that perceived deprivation reflected a victim stance and that individuals create their experience. The article supplies no participant-harm case or independent outcome study for these practices.","Peer-led transformational practice can combine unqualified authority, deliberately intensified emotion, and a worldview that makes harmed people responsible for their own experience.","It does not establish coercion in each group, diagnose the founder, show that refusal was punished, quantify harm, or prove that the philosophy caused later casualties mentioned generally by the author.",The author interprets the movement as secular religion and argues that relativism and weak social controls contributed to failure.,"Participants may have experienced the exercises as voluntary education, and the article's later cultural critique is polemical and relies heavily on secondary commentary.","Training and group exercises are described, but licensing, screening, confidentiality, adverse-event response, and independent review are not.",The organization declined as many participants aged and returned to conventional lives; no practice-specific outcome is established.,"Moderate for a firewall between peer care and governance, competent supervision, informed consent, stop rights, adverse-event review, and rejection of victim-blaming.",B,Community as therapist / non-waivable rights / safety and evidence,medium,yes,"Use as a mechanism warning, not proof of abuse or therapeutic inefficacy. DOI: https://doi.org/10.9707/0739-1250.1575"
F-075,Track A child context,M-0583,010-dating-and-educational-behaviors-of-hutterian-youth.pdf,"Vol. 25, no. 1 (2005)",Dating and Educational Behaviors of Hutterian Youth,Suzanne R. Smith and Bron B. Ingoldsby,Hutterite colonies,"PDF pp. 3, 5, and 12; printed pp. 114, 116, and 123","114, 116, 123",,full text,ethnographic synthesis and a small survey of outside teachers,"The article says authority figures control children's conduct through praise and punishment, including corporal punishment by German teachers acting with parental authority. It reports serious youth violence and drug use as practically nonexistent while minor rule-breaking was unofficially tolerated. Some outside teachers described lying, cheating, or stealing as wrong mainly when detected and expected children to reproduce the discipline they had experienced.",A punishment-centered system may suppress visible serious misconduct while leaving moral reasoning externalized around authority and detection; low observed violence does not validate the discipline model.,"It does not measure violence prevalence, verify every teacher claim, establish effects of corporal punishment, document a persistently dangerous child, or provide allegation-to-outcome cases.",The authors use Kohlbergian moral-development theory and suggest restrictive parenting may intensify some rebellion.,"Outside teachers may misunderstand Hutterite moral reasoning, and low serious violence may reflect strong peer monitoring, cohesion, opportunity limits, or underreporting.","Adult and peer monitoring, punishment, tolerated minor deviation, and detection-based correction are described in aggregate; assessment, review, and individual outcomes are absent.",Serious violence and drug use were reported as rare; some young men left and minor covert violations persisted.,"Moderate for distinguishing behavioral suppression from internalized accountability and requiring nonviolent discipline, confidential reporting, and independent child advocacy.",B,Children / school / discipline / safety metrics,medium,yes,Historical and culturally specific evidence; current safeguarding standards and direct Hutterite perspectives are required before recommendation. DOI: https://doi.org/10.9707/0739-1250.1579
F-076,Track A child negative result,,Volumes 21-25 discovery corpus,Volumes 21-25 (2001-2005),Cumulative targeted search and issue-by-issue discovery scan,Research checkpoint,Communal Societies volumes 21-25,97 PDFs; 25 relevant or contextual close reads,,,full extracted corpus,systematic bounded search result,"Across all 97 PDFs, complete title triage, targeted vocabulary search, proximity inspection, and relevant-source close reads found youth violence described as rare, ordinary rule-breaking and theft, corporal punishment, peer monitoring, child autonomy, and children exposed to adult factional conflict. No source documented a persistently dangerous child as actor together with allegation, assessment, intervention, review, and later outcome.",The specified dangerous-child evidence pattern is absent from this completed chunk under the recorded search and close-read procedure.,"It does not prove that no such case exists in volumes 26-45, standalone sources, different terminology, unpublished records, or communities outside the journal.",Not applicable.,"The journal may avoid private child cases, describe them euphemistically, or route them into education, medicine, juvenile law, family history, or book-length sources.",Not applicable.,Bounded null for volumes 21-25.,High for this chunk; none for the full literature until remaining sources and standalone books are processed.,F,Research/school function / dangerous-child branch,high,no,"Child victims, ordinary rebellion, aggregate claims, adult danger near child terms, and punishment without a dangerous-child actor were excluded."
F-077,Track A response process,M-0604,011-the-society-of-separatists-of-zoar-vs-zoar-and-the-courts.pdf,"Vol. 26, no. 1 (2006)",The Society of Separatists of Zoar vs....: Zoar and the Courts,Kathleen M. Fernandez,Society of Separatists of Zoar,PDF pp. 2-9; printed pp. 105-112,105-112,,full text,"historical legal synthesis using articles of agreement, notices, testimony, and reported court decisions","Zoar's articles assigned disputes to a five-member Standing Committee and stripped a dissatisfied member of further membership rights. After reports of tavern drunkenness, fighting, secret money, and hoarded goods, Johannes Goesele refused the committee hearing and remained in the tavern. Counsel then issued a conduct-specific eviction notice inviting excuse, extenuation, and cause against expulsion. Goesele sued instead. Courts upheld the communal contract under which separation or expulsion ended property claims; his wife could receive support only by returning to live and work at Zoar. The Society later gave the impoverished former members supplies.","Conduct-specific notice and an offered hearing can coexist with a severe, structurally coercive consequence. Judicial enforcement of a property contract does not establish that the internal fact-finding, forfeiture rule, or practical exit was fair.","It does not prove every allegation against Goesele, show that the committee was independent, establish what evidence it weighed, show whether he received the notice before suing, or make the nineteenth-century forfeiture holdings current law.",The author presents the litigation as both a dismissal problem and a landmark validation of communal property arrangements.,"Goesele's refusal to attend may have defeated a usable internal remedy, and forfeiture may have been central to preserving the common estate; later material aid also complicates a simple abandonment account.",Standing Committee jurisdiction; allegations and testimony; offered hearing; conduct-specific notice and opportunity to show cause; expulsion and eviction; external litigation; conditional support and later supplies. No neutral internal appeal is described.,The dismissal produced nearly twenty years of litigation. The former members recovered no equity and experienced poverty; the Society survived and provided some supplies.,"High for separating notice and fact-finding from exit equity, ensuring independent appeal, and preserving unconditional transition support for spouses and dependents.",C,Fair separation / money and land / outside response,high,yes,Do not treat the reported court holdings as current legal advice. DOI: https://doi.org/10.9707/0739-1250.1491
F-078,Track A separation and escalation,M-0600,007-easter-1832-a-brief-interlude-of-peace-for-georg-rapp-s-harmony-society.pdf,"Vol. 26, no. 1 (2006)","Easter, 1832: A Brief Interlude of Peace for Georg Rapp's Harmony Society",Eileen Aiken English,Harmony Society and New Philadelphia seceders,PDF pp. 4-7; printed pp. 39-42,39-42,,full text,"historical reconstruction from conflicting community accounts, depositions, correspondence, and press material","The Harmony Society and 1832 seceders agreed to a $105,000 separation payment in three installments with deductions and release conditions. The first payment was reduced and later adjusted; the final payment was delayed while the payer demanded release of claims. With the splinter settlement in debt and short of food and medicine, a delegation of 79 men arrived to present an appeal and seek asset records. Accounts disagree about weapons and who initiated violence. The militia intervened and a trial was scheduled, but the splinter society dissolved and the trial never occurred.","A written exit settlement can fail when one side controls deductions, records, release conditions, and disbursement. Without a neutral accounting and escalation channel, urgent material need and mixed-purpose collective action can turn an equity dispute into a safety crisis.","It does not resolve the competing accounts of payment, weapons, assault, or intent; establish the exact legal entitlement of either side; or show that neutral escrow alone would have prevented the conflict.",The author concludes that neither side won and that bitterness and institutional damage outlasted the immediate dispute.,"The seceders' own spending, leadership, and debt contributed materially to their desperation, while the Harmony Society may have had legitimate unresolved-claim concerns.",Negotiated installment agreement; deductions and appeal; delayed final payment; written collective appeal; attempted access to records; disputed violence; militia and court referral; no completed adjudication.,"The splinter society dissolved before trial, members scattered, bitterness persisted, and the Harmony Society entered a long economic decline.","High for neutral valuation, common records, escrow, payer-independent disbursement, rapid hardship relief, and a safe channel for contested mass exit.",C,Fair separation / money and land / conflict architecture,medium,yes,The source explicitly reconstructs incompatible accounts; do not choose a culprit where it does not. DOI: https://doi.org/10.9707/0739-1250.1487
F-079,Track A governance safeguard,M-0606,013-changing-pilots-in-mid-stream-how-german-american-communitarian-societies-successfully-handled-the-deaths-of-t.pdf,"Vol. 26, no. 1 (2006)",Changing Pilots in Mid-Stream: How German-American Communitarian Societies Successfully Handled the Deaths of Their Founders,Michael Taylor,Harmony Society,PDF p. 5; printed p. 138,138,,full text,comparative historical synthesis,"George Rapp made no succession provision. A democratically elected Council of Elders, created during an earlier legal crisis with limited temporal authority, became the Society's religious and secular governing body after his death. When designated religious leader Jacob Henrici tried to establish absolute authority, the council and co-trustee R. L. Baker rebuked him. Henrici accepted the rebuke and remained minister; the community survived the transition for decades.","A representative body created before a succession crisis can become a practical override: it constrained a would-be autocrat without requiring either submission or total removal, and separated ministry from final governance.","It does not show how inclusive the election was, whether the council could handle abuse allegations, how often it checked leaders, or that the later society was otherwise democratic or safe.",The author credits shared goals and the expanded Council of Elders with allowing the Society to survive its initial leadership transition.,Henrici's willingness to accept correction and the community's continuity of purpose may have mattered as much as the council's formal design.,Preexisting elected council; post-founder expansion of authority; collective rebuke of successor; successor accepts limited role and remains in office.,The attempted concentration of power was checked and the Society continued for decades.,"High for installing an elected, independently legitimate body before succession and giving it power to narrow a leader's role without making every correction existential.",B,Founderism / succession / tested override,high,yes,"A positive mechanism, not proof that the council was adequate in all domains. DOI: https://doi.org/10.9707/0739-1250.1493"
F-080,Track A governance safeguard,M-0606,013-changing-pilots-in-mid-stream-how-german-american-communitarian-societies-successfully-handled-the-deaths-of-t.pdf,"Vol. 26, no. 1 (2006)",Changing Pilots in Mid-Stream: How German-American Communitarian Societies Successfully Handled the Deaths of Their Founders,Michael Taylor,Community of True Inspiration / Amana,PDF pp. 8-10; printed pp. 141-143,141-143,,full text,comparative historical synthesis,"An 1854 inspired testimony attributed to Christian Metz condemned any dissolution of communal ties and threatened deprivation and disgrace for those responsible. In 1919, older members who remembered the testimony rejected a constitutional revision permitting reorganization or dissolution. In 1932, the Great Change separated the religious and business sides, allowing economic reorganization while preserving the church's stated spiritual purpose.",A dead founder's recorded words can retain a practical veto long after personal succession succeeds. Institutional separation can make revision possible by protecting the valued purpose while changing the legal-economic form.,"It does not prove the testimony alone caused the 1919 rejection, quantify the cost of delay, establish unanimity in 1932, or show that structural separation solves other capture risks.","The author treats shared goals, rather than transfer of charisma, as the main continuity mechanism and the Great Change as a smooth adaptation.",Economic pressures and generational change may have driven both the delayed resistance and eventual reorganization more than institutional design did.,Archived prophetic prohibition; failed constitutional revision; later separation of religious and business institutions.,Reorganization was delayed in 1919 and achieved in 1932 without dissolving the religious body.,High for testing whether amendment rules bind founding texts and for considering separable legal entities when mission and operating form must change at different speeds.,B,Founderism / rule revision / plan the funeral,high,yes,"The source discusses inherited veto power, not a dangerous-person case. DOI: https://doi.org/10.9707/0739-1250.1493"
F-081,Track A source-method warning,M-0617,010-validation-in-the-shaker-era-of-manifestations-a-process-analysis.pdf,"Vol. 26, no. 2 (2006)",Validation in the Shaker Era of Manifestations: A Process Analysis,Glendyne Wergland,Shakers,PDF pp. 5-6 and 11-16; printed pp. 124-125 and 130-135,"124-125, 130-135",,full text,historical process analysis using Shaker journals and visitor accounts,"Leaders treated separately reported matching visions as corroboration, then sent Isaac Newton Youngs to place obstacles in the girls' path and test them. Youngs was already a committed believer; after validating the visions he demonstrated their actions to leaders and peers, potentially supplying a script. A skeptical journal keeper was replaced. When a girl admitted augmenting a gift, the deception was said to have been exposed and reproved by a true gift. Doubt was veiled, questioning was discouraged to preserve union, contradictory gifts emerged, and leaders later restricted manifestations and closed public worship.","Multiple reports and an apparently empirical test are not independent when investigators, witnesses, vocabulary, incentives, and final authority share the same prior commitment. Punishing criticism and using the disputed channel to validate itself weakens falsification.","It does not prove that all visions were feigned, that leaders knowingly manufactured evidence, that the girls were dangerous, or that the described restraint and regulation were clinically appropriate.",The author models the episode as a multi-stage social validation process in which official acceptance enabled spread and later required regulation.,"Shared belief does not itself make an experience false; leaders did test claims, expose at least some pretense, and eventually narrow disruptive public behavior.",Separate reports; insider testing; demonstration; leadership validation; criticism suppression; insider policing of fraud; later restrictions and closure to outsiders.,"The manifestations spread, generated contradictions and control problems, and were eventually constrained; public worship later became more moderate.","High for evidence-channel independence, blinded or outside assessment, preservation of dissent, and avoiding circular validation in allegations or safety reviews.",C,Evidence protocol / dissent / safety proxies,high,yes,The girl's admitted embellishment is not a dangerous-child case. DOI: https://doi.org/10.9707/0739-1250.1504
F-082,Track A capture attempt,M-0619,012-the-outlaws-of-kalalau-the-aloha-spirit-and-threats-to-the-commune.pdf,"Vol. 26, no. 2 (2006)","The Outlaws of Kalalau, the Aloha Spirit, and Threats to the Commune",Jeffrey S. Rasley,Outlaws of Kalalau,PDF pp. 5-6 and 8-11; printed pp. 170-171 and 173-176,"170-171, 173-176",,full text,small first-person observational account with follow-up conversations and email,"The group recognized Chaz only as a mediator and had no means to exclude anyone from the valley, though it could socially exclude a person. Member Akamai announced that thirty young Hawaiians willing to resist state authority would come to clear sacred sites. He later wrote that only Hawaiians could live in the community he intended to establish and the current Outlaws would be visitors. Chaz relied on an informal understanding and then dismissed the plan as impractical. A court jailed Akamai for camping violations and failure to appear; the proposed replacement community had not materialized by the author's next visit.","An open-access ethos and purely mediating leadership supplied no internal forum or authority for testing an explicit proposal to displace existing members. The leader relied on personal assurance and feasibility rather than a decision, boundary, or contingency.","It does not show that the announced group existed, that violence or displacement was imminent, that Akamai had practical control, that other members were intimidated, or that the park prosecution addressed the internal capture proposal.","The author treats both state pressure and Akamai's sovereignty project as threats, while reporting that residents ultimately regarded the latter as foolish and unlikely.",The proposal may have been aspirational rhetoric and nonintervention may have been proportionate; the group's lack of land title also limited any formal exclusion power.,Informal disclosure; private assurance to mediator; no recorded group deliberation or conditions; leader feasibility judgment; unrelated external law enforcement.,"The proposal was unrealized at the observed checkpoint, Akamai served a short sentence on park charges, and the existing group continued.","Moderate for requiring a defined body to assess capture proposals, membership displacement, threatened force, and conflicts between open access and residents' safety.",C,Founderism / capture test / open-door limits,medium,yes,"Tiny, informal group and a first-person account; the state action was not an internal safety remedy. DOI: https://doi.org/10.9707/0739-1250.1506"
F-083,Track A classification failure,M-0648,004-utopian-communal-experiments-in-tasmania-a-litany-of-failure.pdf,"Vol. 28, no. 1 (2008)",Utopian Communal Experiments in Tasmania: A Litany of Failure?,William Metcalf,Southport Village Settlement,PDF pp. 13-17; printed pp. 12-16,12-16,,full text,"historical synthesis using prospectus, press reports, official inspection, and site research","An outside Ladies Committee controlled finances, selected members, appointed the manager, and imposed forty-one rules. Residents then faced poor soil, inadequate food, exposed housing, an allegedly incompetent manager, intrusive rules, and interpersonal conflict. After six months, fourteen families had left or been expelled as 'unsuitable or unworthy' and were replaced by other desperate unemployed people. The ten remaining men voted to end communal work and divide the land into individual allotments.","Opaque suitability labels and rapid replacement can turn a site, management, capacity, and voice failure into an alleged member-character failure. Screening more people does not correct a structurally unworkable environment.","It does not identify which families left and which were expelled, specify the conduct behind any expulsion, prove the replacements were unsuitable, or isolate the effect of communal versus individual tenure.","The author emphasizes repeated Tasmanian communal failure and describes Southport as paternalistic, poorly planned, and materially harsh.","Some departures or expulsions may have been justified, and individual allotments may have improved incentives independently of governance or site quality.",Outside selection and rules; informal conflict smoothing; departures and unspecified expulsions; immediate replacement; member ballot to abandon communal work.,"Communalism ended after six months; families worked separate plots, outside support later ceased, and only six families remained by 1898.","High for auditing admission and expulsion labels against site capacity, manager competence, resident voice, and comparable outcomes after replacement.",D,Membership pipeline / math of absorption / labor and voice,high,yes,Preserve the source's combined phrase 'left or been expelled'; it does not support treating every departure as removal. DOI: https://doi.org/10.9707/0739-1250.1437
F-084,Track A system response and child protection,M-0649,005-evolution-of-the-family-international-children-of-god-in-the-direction-of-a-responsive-communitarian-religion.pdf,"Vol. 28, no. 1 (2008)",Evolution of The Family International/Children of God in the Direction of a Responsive Communitarian Religion,Gordon Shepherd and Gary Shepherd,The Family International / Children of God,PDF pp. 9-15; printed pp. 34-40,34-40,,full text,"historical and organizational synthesis informed by leadership interviews, visits to 23 homes in 16 countries, 21 headquarters interviews, observation, and movement publications","The 1975 appointed hierarchy was described as susceptible to abuses of power; Berg responded by firing the entire leadership, appointing replacements, allowing homes to elect shepherds, and eventually disbanding the old organization. The authors report some adult-minor sexual contact following Berg's teachings in the late 1970s and early 1980s. Later rules abolished such contact under excommunication and banishment. The 1995 Charter specified child education, physical and mental health, age-based sexual rules, and home governance after legal consultation, grassroots workshops, revision, and a leadership vote; it was later updated under external and internal pressure.","The movement used organization-wide removal, elected local leadership, categorical safeguarding rules, legal input, member consultation, and a revisable charter in response to systemic abuse and child-related pressure. System reform and case-level accountability are separate functions.","It does not provide individual allegation-to-assessment cases, show who was responsible, establish repair for harmed children, test whether the purge or bans were enforced fairly, quantify abuse, or independently validate claims that later police investigations found no evidence.",The authors interpret the changes as substantial movement toward a more responsive communitarian religion.,"Their sustained access to current leaders and homes may favor the institution's reform narrative; a whole-tier purge sacrifices individual adjudication, and later reforms may also have served legitimacy and liability goals.",Wholesale leadership removal and reorganization; elected local shepherds; categorical prohibition with expulsion sanction; Charter drafting with legal and grassroots input; periodic revision and specialist boards.,"The organization survived, formalized child-related rules, and broadened participation, but the source does not establish victim repair or case-level outcomes.","High for pairing system-wide safeguarding reform with a separate, independent case process, records, remedies, implementation audit, and child advocacy.",C,Children / fair separation / non-waivable rights / governance,medium,yes,The source is unusually access-dependent and sympathetic. Its characterization of critics and exonerating raid claims are not adopted as independent findings. DOI: https://doi.org/10.9707/0739-1250.1438
F-085,Track A shadow governance,M-0649,005-evolution-of-the-family-international-children-of-god-in-the-direction-of-a-responsive-communitarian-religion.pdf,"Vol. 28, no. 1 (2008)",Evolution of The Family International/Children of God in the Direction of a Responsive Communitarian Religion,Gordon Shepherd and Gary Shepherd,The Family International,PDF pp. 16-20 and 23-25; printed pp. 41-45 and 48-50,"41-45, 48-50",,full text,organizational ethnography and leadership-access synthesis,"Many channels, editors, boards, and local councils participated in policy and prophecy, but Maria selected topics, commissioned channels, approved published prophecies, and always retained final approval. At home level, conflicts submitted to prophecy were typically muted and outward consensus achieved. Later restructuring purged 'lackadaisical and dissident' members and made whole homes subject to status downgrade for missing annual benchmarks. The authors conclude that when prophecy and democracy conflict, theos overrides demos.","Distributed participation, multiple reviewers, elected officers, and consensus rituals do not constitute an override when one person controls the final evidence-policy channel and whole-unit sanctions reward conformity. Formal participation and practical veto must be tested separately.","It does not show that every prophecy session was coerced, that every dissenter was unsafe or harmless, how benchmark appeals worked, or that the leadership used its final authority maliciously.",The authors describe a durable theo-democracy that is more participatory yet remains on the authoritarian side of the spectrum.,"Extensive consultation may have constrained final authority in practice even without a formal veto, and common standards may have served legitimate coordination and safeguarding functions.",Multi-stage consultation and editing; final leader approval; local prophecy-based consensus; centralized compliance monitoring; whole-home downgrade and membership purge.,Participation expanded while centralized control became more complex and effective; significant defection continued and final doctrinal authority remained concentrated.,"High for mapping who commissions evidence, edits it, sets the question, controls final approval, hears appeals, and bears sanctions—not merely counting participants or votes.",D,Founderism / evidence channels / cohesion and dissent,high,yes,Use the source's own mixed conclusion; do not treat participatory procedure as either wholly fake or independently decisive. DOI: https://doi.org/10.9707/0739-1250.1438
F-086,Track A external complaint and settlement,M-0663,004-waco-and-oneida-the-impact-of-public-opinion-on-the-survival-of-unconventional-religious-communal-groups-in-am.pdf,"Vol. 28, no. 2 (2008)",Waco and Oneida: The Impact of Public Opinion on the Survival of Unconventional Religious-Communal Groups in America,Lawrence Foster,Oneida Community,PDF pp. 10-14; printed pp. 9-13,9-13,,full text,interpretive historical synthesis using a published compilation of primary Oneida sources,"After Henry Seymour severely whipped his mentally disturbed wife Tryphena, her father obtained an assault-and-battery indictment and nine members were required to testify. A settlement ended the charge: the community paid asylum expenses and promised an annual stipend after discharge. When the family later threatened additional indictments, Oneida hosted neighbors and paid the complainant for a discharge and, conditionally, for using his influence to stop the indictments. The community resumed complex marriage. The article describes no internal discipline or assessment of Seymour.",An external complaint produced treatment support and material provision that the internal system had not supplied. Conciliation can reduce escalation while also redirecting attention from offender accountability to institutional survival and suppression of further legal scrutiny.,"It does not show that the settlement was unfair to Tryphena, that the later indictments had merit, that Seymour faced no unreported consequences, or that litigation rather than conciliation would have produced a better outcome.","The author praises Oneida's compromise, public relations, admission of mistakes, and nonviolent handling of hostile outsiders as a survival strategy.",Avoiding a public trial may have protected Tryphena and secured care; the payment could be ordinary settlement rather than improper suppression. The absent internal accountability record remains material either way.,Family complaint and criminal indictment; witness testimony; out-of-court treatment and stipend agreement; later public outreach; payment conditioned on discharge and efforts to stop further indictments; no internal offender review described.,"Charges were defused, the community resumed its practices and survived for decades, while the source records support for Tryphena but no stated consequence for the person who whipped her.","High for distinguishing victim support, mediation, legal settlement, public relations, evidence preservation, and offender accountability as separate requirements.",C,Outside mediator / fair separation / legal coupling / evidence protocol,medium,yes,The article is strongly polemical about Waco; only the documented Oneida sequence is promoted. DOI: https://doi.org/10.9707/0739-1250.1452
F-087,Track A source-method correction,M-0667,008-dark-error-s-night-will-soon-be-gone-dynamics-of-participation-in-new-harmony-1824-1827.pdf,"Vol. 28, no. 2 (2008)","Dark Error's Night Will Soon Be Gone!: Dynamics of Participation in New Harmony, 1824-1827",Peter Hohn,New Harmony,PDF pp. 3 and 10-13; printed pp. 68 and 75-78,"68, 75-78",,full text,quantitative historical analysis of community ledgers compared with narrative accounts,"A received explanation blamed New Harmony's failure on open admission and lazy, inefficient, parasitic members. The contribution-and-consumption ledgers showed no significant deterioration over time; low-skilled members did not live comparatively free from the common store; local settlers contributed materially at high levels; and members elected to draft the constitution contributed about half the average while consuming near the average. The author notes that informal economies and intellectual contributions are incompletely captured.","Contemporaneous administrative records can test and reverse stigmatizing narratives about low-status members. Productivity, class, official-account participation, and elite status are not self-validating evidence of character or safety.","It does not prove that no one exploited the community, capture informal exchange or intellectual work completely, assess dangerous conduct, or show that ledger contribution should determine moral worth.","The author argues that inherited identities and incompatible visions, not simple malingering, better explain the experiment's end.","The ledgers may miss precisely the informal work, concealment, quality differences, or interpersonal conduct that informed participants' judgments.",Retrospective audit of debits and credits against a longstanding blame narrative; no historical bad-actor adjudication is described.,"The parasite explanation was not supported by the tested ledger patterns, and elite contributors were not materially superior by the same measure.","High for auditing admission, contribution, and expulsion labels with predeclared measures, comparable groups, complete records, and explicit measurement limits.",D,Safety proxies / membership pipeline / math of absorption,high,yes,"An audit of a safety proxy, not a dangerous-person case. DOI: https://doi.org/10.9707/0739-1250.1456"
F-088,Track A founder exception,M-0666,007-mary-baker-eddy-s-households-community-experiments-in-early-christian-science-history.pdf,"Vol. 28, no. 2 (2008)",Mary Baker Eddy's Households: Community Experiments in Early Christian Science History,Michael W. Hamilton,Mary Baker Eddy's Pleasant View household / Christian Science,PDF pp. 6-7; printed pp. 63-64,63-64,,full text,historical synthesis quoting the Church Manual,"Christian Science combined democratically governed branch churches with a self-perpetuating central board. A Church Manual bylaw required a three-year member, upon Eddy's written request, to report to her within ten days and serve for three consecutive years. Refusal, or departure without directors' consent, led to excommunication upon Eddy's complaint. Service paid $1,000 per year plus board; married helpers could be separated from spouses and children, though some couples served and some workers were released early.",A federal or democratic organizational form can coexist with a personalized founder exception that compels service through religious sanction and converts refusal or early exit into an offense.,"It does not state how often the bylaw was invoked or enforced, show legal compulsion beyond church sanction, establish that all service was involuntary, or prove abuse within the household.",The author places the bylaw within Eddy's effort to train followers for continuity and notes both public criticism and the movement's democratic branch structure.,"Members may have regarded the paid service as a valued religious duty, and board consent plus early releases may have provided meaningful flexibility.",Founder request; ten-day reporting deadline; three-year duty; board consent for early release; excommunication initiated by founder complaint for refusal or unauthorized departure.,"The household was staffed and used for leadership formation; the article does not enumerate refusals, sanctions, or individual later outcomes.","High for auditing founder-specific bylaws, compelled labor, family separation, refusal rights, term limits, and who can initiate sanctions.",D,Founderism / non-waivable rights / labor and exit,high,yes,Religious excommunication is not equated here with legal confinement. DOI: https://doi.org/10.9707/0739-1250.1455
F-089,Track A failed override and hidden authority,M-0669,010-review-of-the-order-of-the-solar-temple-the-temple-of-death.pdf,"Vol. 28, no. 2 (2008)",Review of The Order of the Solar Temple: The Temple of Death,Holly Folk,Order of the Solar Temple,PDF pp. 2-4; printed pp. 96-98,96-98,,full text,book review summarizing a multi-author scholarly collection,"The Solar Temple operated through multiple names and shell organizations, with important information hidden from all but an inner circle. Luc Jouret was the visible Grand Master while Joseph Di Mambro held greater but less conspicuous authority. Jouret lost the title around 1990-1991, but the review says it is unclear whether Di Mambro accepted the ouster; Jouret retained close ties and formed a shadow organization. In 1994 the inner circle murdered some labeled traitors, drugged and shot others, and killed themselves; additional deaths followed in 1995 and 1997.","Formal removal from a visible title is not a tested override if hidden authority, personal networks, parallel organizations, information, and operational access remain intact.","It does not establish that the failed removal caused the killings, resolve who acted willingly, identify a single trigger, describe an internal appeal, or correct discrepancies in the underlying edited volume.","The reviewer emphasizes secrecy, layered authority, membership decline, external pressure, and unresolved social dynamics, while criticizing the underlying collection's gaps.",The later violence may have arisen from changes after the title dispute that no formal override available in 1990 could reasonably have predicted or prevented.,Formal title removal; uncertain acceptance by hidden superior authority; continuing network ties and shadow organization; no transparent containment or evidence review described.,The network remained operative and later produced three episodes of murder-suicide totaling seventy-four deaths.,"High in principle, but only moderate evidentially: removal must cut practical authority, assets, security access, communications, and parallel entities and must be independently verified.",C,Founderism / tested override / evidence preservation,medium,yes,"Review-level evidence only. The teenage daughter and other children were victims, resisters, or escapees—not dangerous-child actors. DOI: https://doi.org/10.9707/0739-1250.1458"
F-090,Track A child negative result,,Volumes 26-28 discovery corpus,Volumes 26-28 (2006-2008),Cumulative targeted search and issue-by-issue discovery scan,Research checkpoint,Communal Societies volumes 26-28,82 PDFs; 41 relevant or contextual close reads,,,full extracted corpus,systematic bounded search result,"Across all 82 PDFs, complete title triage, six-family keyword scoring, five-family process screening, child-danger proximity inspection, and 41 relevant or contextual close reads found child victims and dependents, youth rebellion in aggregate, ordinary misconduct, a girl who admitted embellishing a religious performance, and fictional child cruelty or violence. No source documented a persistently dangerous child as actor together with allegation, assessment, intervention, review, and later outcome.","The specified dangerous-child evidence pattern is absent from this completed chunk under the recorded search, proximity, exclusion, and close-read procedure.","It does not prove that no such case exists in volumes 29-45, standalone sources, different terminology, unpublished records, book-length sources, or communities outside the journal.",Not applicable.,"Privacy, euphemism, fiction, aggregate reporting, and routing into education, medicine, juvenile law, family records, or memoir may hide cases from a communal-history journal.",Not applicable.,Bounded null for volumes 26-28.,High for this chunk; none for the full literature until the remaining sources and standalone books are processed.,F,Research/school function / dangerous-child branch,high,no,"Adult actors near child terms, child victims, ordinary conduct, aggregate claims, and invented characters were excluded. The cumulative bounded null now covers volumes 1-28."
